"","pwsid","district","severity","simpson","ground","surf","imported","recycled","desal","tot.source","propground","propsurf","propdesal","proprecyc","propbank","propimport","casgem","adj","totgpcd15","rgpcd15","totgpcd10","rgpcd10","changetot","changer","medinc","buyertier","sellertier","buyers","sellers","region"
"124",1910194,"Rowland Water District",193.8227,0.087393562,1,0,1,1,0,3,0.036219925,0,0,0.009206983,0,0.954573091,"0.0,21.25","0,1",148.4,75.68443968,153,78,-3.01,-3,63.203,0,3,0,1,"South"
"125",1910200,"Suburban Water Systems - San Jose Hills",193.8227,0.530586025,1,0,4,1,0,6,0.536108255,0,0,0.039067493,0,0.424824252,"","",118.06,82.9522343,130,92,-9.18,-10,92.898,0,4,0,4,"South"
"126",1910204,"Los Angeles County Water District #29",195.98625,0,0,0,1,0,0,1,0,0,0,0,0,1,"0.0,19.25","0,0",287.97,236.1314031,281,230,2.48,3,120.56,0,3,0,1,"South"
"127",1910213,"Torrance, City of",196,0.169205098,1,0,2,0,1,4,0.043904569,0,0.046881823,0,0,0.909213608,"20.75","1",136.47,73.6952866,132,75,3.39,-2,77.438,0,3,0,2,"South"
"128",1910223,"Golden State Water Company - South San Gabriel",195.9725,0.21972499,1,0,1,0,0,2,0.8746746,0,0,0,0,0.125697285,"24.75,21.25","1,1",77.63,62.49016491,81,62,-4.16,1,42.244,0,3,0,1,"South"
"129",1910225,"Las Virgenes Water District",195.9908333,0,0,0,1,0,0,1,0,0,0,0,0,1,"0.0,0.0,0.0,19.75","0,0,0,1",212.35,182.6206892,230,161,-7.67,13,116.848,0,2,0,1,"South"
"130",1910234,"Walnut Valley Water District",193.8227,0.160203453,1,0,1,1,0,3,0.024268934,0,0,0.061730573,0,0.914000494,"21.25","1",130.9,112.5738237,142,120,-7.82,-6,86.667,1,3,1,1,"South"
"131",1910239,"Lakewood, City of",193.8227,0.088643595,1,0,0,1,0,2,0.953517588,0,0,0.046482412,0,0,"24.75","1",99.45,83.53592569,104,74,-4.38,13,81.8855,NA,NA,NA,NA,"South"
"132",1910240,"Valencia Water Company",200.7674,0,0,0,1,0,0,1,0,0,0,0,0,1,"22.75","0",175.06,91.16965047,210,104,-16.64,-12,100.625,0,3,0,1,"South"
"133",1910245,"Santa Fe Springs, City of",194.8976,0.366304525,1,0,2,1,0,4,0.141326986,0,0,0.079291877,0,0.779381137,"24.75","1",258.71,69.85299454,276,75,-6.26,-7,66.709,0,3,0,2,"South"
"135",2010002,"Madera, City of",216.5049,0,1,0,0,0,0,1,1,0,0,0,0,0,"25","0",129.99,89.69335754,160,136,-18.76,-34,34.8,NA,NA,NA,NA,"North"
"136",2110002,"Marin Municipal Water District",75.0144,0.403494034,0,1,1,1,0,3,0,0.73058364,0,0.019684436,0,0.249731924,"0.0,0.0,0.0","0,0,0",108.64,81.48026568,122,91,-10.95,-10,103.005,0,1,0,1,"North"
"137",2110003,"North Marin Water District",72.91183333,0.436280488,0,1,1,1,0,3,0,0.293501282,0,0.015605841,0,0.690892877,"0.0,0.0,0.0,0.0","0,0,0,0",105.14,86.21885082,138,113,-23.81,-24,82.383,0,1,0,1,"North"
"139",2410005,"Los Banos, City of",216.5049,0,1,0,0,0,0,1,1,0,0,0,0,0,"22.25","0",159.88,103.9250548,213,128,-24.94,-19,42.167,NA,NA,NA,NA,"North"
"140",2410009,"Merced, City of",216.5049,0,1,0,0,0,0,1,1,0,0,0,0,0,"22.5","0",191.66,137.9956243,248,179,-22.72,-23,31.705,NA,NA,NA,NA,"North"
"141",2610001,"Mammoth Community Water District",164.2724,0.631812056,1,1,0,1,0,3,0.33993808,0.461919505,0,0.198142415,0,0,"","",87.65,52.59262472,117,70,-25.08,-25,60.518,NA,NA,NA,NA,"North"
"142",2701202,"CA-American Water - Monterey District",203.9213,0.52734096,2,2,0,0,1,5,0.261534858,0.730658131,0.007728941,0,0,0,"0","0",88.91,61.35062448,97,66,-8.34,-7,58.036,NA,NA,NA,NA,"North"
"143",2710009,"CA Water Service Co - King City",203.9213,0,1,0,0,0,0,1,1,0,0,0,0,0,"0","0",86.65,47.57236535,99,49,-12.47,-3,39.2615,NA,NA,NA,NA,"North"
"144",2710010,"CA Water Service Co - Salinas",179.72955,0,1,0,0,0,0,1,1,0,0,0,0,0,"0.0,0.0,0.0,0.0","0,0,0,0",108.79,58.96224811,125,68,-12.97,-13,56.806,NA,NA,NA,NA,"North"
"145",2710011,"Soledad, City of",203.9213,0,1,0,0,0,0,1,1,0,0,0,0,0,"0","0",107.7,82.93107031,118,91,-8.73,-9,49.166,NA,NA,NA,NA,"North"
"146",2710017,"Marina Coast Water District",170.2374,0,1,0,0,0,0,1,1,0,0,0,0,0,"0.0,0.0,0.0","0,1,0",89.01,70.65992069,92,51,-3.24,39,75.519,NA,NA,NA,NA,"North"
"147",2810003,"Napa, City of",119.06775,0.490152335,0,2,1,0,0,3,0,0.614341085,0,0,0,0.385658915,"0.0,0.0,0.0","0,0,0",118.98,77.33412718,143,93,-16.8,-17,74.338,1,1,1,1,"North"
"148",2810005,"American Canyon, City of",102.7762,0.046031193,0,0,3,1,0,4,0,0,0,0.023571198,0,0.976428802,"0","0",129.64,70.00737033,147,74,-11.81,-5,89.914,0,2,0,3,"North"
"149",2910003,"Truckee-Donner Public Utilities District",194.3171,0,1,0,0,0,0,1,1,0,0,0,0,0,"17","0",99.36,82.46808585,132,103,-24.73,-20,75.405,NA,NA,NA,NA,"North"
"150",3010001,"Anaheim, City of",166.1529,0.441634029,1,0,1,0,0,2,0.670830283,0,0,0,0,0.329169717,"0","0",137.63,79.96435492,147,85,-6.37,-6,60.884,0,2,0,1,"South"
"151",3010002,"Brea, City of",193.8227,0.020177276,1,0,2,0,0,3,0.010192525,0,0,0,0,0.989807475,"0","0",196.91,110.2681692,228,91,-13.64,21,91.146,0,3,0,2,"South"
"152",3010003,"Buena Park, City of",193.8227,0.512239117,1,1,1,0,0,3,0.58492037,0,0,0.035081858,0,0.379997773,"0.0,24.75","0,1",133.1,78.52920513,148,87,-10.07,-10,72.697,0,3,0,1,"South"
"153",3010004,"Mesa Consolidated Water District",152.318,0.309756616,1,0,1,1,0,3,0.819587629,0,0,0.056701031,0,0.12371134,"0","0",125.21,78.00867732,127,79,-1.41,-1,70.943,0,3,0,1,"South"
"154",3010010,"Fullerton, City of",193.8227,0.471203446,1,0,1,0,0,2,0.619992821,0,0,0,0,0.380007179,"0","0",160.5,105.9635241,172,109,-6.68,-3,67.886,0,2,0,1,"South"
"155",3010017,"Laguna Beach County Water District",158.28375,0,0,0,1,0,0,1,0,0,0,0,0,1,"","",143.23,93.00139305,150,92,-4.51,1,84.775,0,3,0,1,"South"
"156",3010018,"La Habra, City of",193.8227,0.358172847,1,0,2,0,0,3,0.233703968,0,0,0,0,0.766296032,"0.0,24.75","0,1",117.12,91.47194266,128,95,-8.5,-4,68.835,0,3,0,2,"South"
"158",3010023,"Newport Beach, City of",141.7345,0.497620566,1,0,1,1,0,3,0.603905077,0,0,0.02595374,0,0.370141184,"0","0",182.32,63.81353508,208,88,-12.34,-27,108.0205,0,3,0,1,"South"
"159",3010027,"Orange, City of",166.8786667,0.505591046,1,0,1,1,0,3,0.60224458,0,0,0.036696126,0,0.361059295,"0","0",202.4,182.1590245,177,106,14.35,72,81.518,0,3,0,1,"South"
"160",3010030,"San Juan Capistrano, City of",120.5675,0.420078206,1,0,1,1,0,3,0.225281602,0,0,0.048924792,0,0.725793606,"0","0",160.57,100.0366478,186,110,-13.67,-9,79.3995,0,3,0,1,"South"
"161",3010035,"Golden State Water Company - Placentia",151.22935,0.484226929,1,0,1,0,0,2,0.588806169,0,0,0,0,0.411193831,"0","0",114.79,84.25923705,125,90,-8.16,-6,76.1765,0,3,0,1,"South"
"162",3010036,"San Clemente, City of",120.5675,0.266862853,1,0,1,1,0,3,0.061446977,0,0,0.089197225,0,0.849355798,"0","0",131.05,102.3490661,150,96,-12.63,7,88.848,0,3,0,1,"South"
"163",3010037,"Yorba Linda Water District",151.22935,0.485618916,1,0,1,0,0,2,0.415202937,0,0,0,0,0.584797063,"0","0",180.73,133.742142,203,151,-10.97,-11,104.779,0,3,0,1,"South"
"164",3010038,"Santa Ana, City of",166.8786667,0.475607353,1,0,1,1,0,3,0.617393162,0,0,0.004188034,0,0.378418803,"0","0",91.17,61.08693006,95,64,-4.03,-5,55.147,0,2,0,1,"South"
"165",3010041,"Seal Beach, City of",194.91135,0.471220821,1,0,1,0,0,2,0.619956616,0,0,0,0,0.380043384,"0.0,20.75,24.75","0,1,1",116.16,57.03635155,126,62,-7.81,-8,87.3985,1,3,1,1,"South"
"166",3010042,"South Coast Water District",120.5675,0.344897247,1,0,1,1,0,3,0.090688027,0,0,0.113002432,0,0.796309541,"0","0",130.24,94.03268357,136,92,-4.24,2,96.014,0,3,0,1,"South"
"167",3010046,"Tustin, City of",152.318,0.270906267,1,0,1,0,0,2,0.838447731,0,0,0,0,0.161552269,"0","0",127.43,112.1361548,139,124,-8.33,-10,76.5375,0,4,0,1,"South"
"168",3010047,"Golden State Water Company - Cowan Heights",152.318,0.48782541,1,0,1,0,0,2,0.578021118,0,0,0,0,0.421978882,"0","0",264.13,256.4708805,282,275,-6.34,-7,149.3335,0,4,0,1,"South"
"169",3010053,"Huntington Beach, City of",152.318,0.471186316,1,0,1,0,0,2,0.620028505,0,0,0,0,0.379971495,"0","0",115.12,86.33632644,122,83,-5.64,4,87.143,0,3,0,1,"South"
"170",3010062,"Garden Grove, City of",166.1529,0.471200667,1,0,1,0,0,2,0.619998611,0,0,0,0,0.380001389,"0","0",111.56,65.82130892,117,69,-4.65,-5,58.2495,0,3,0,1,"South"
"171",3010064,"Westminster, City of",196,0.471315998,1,0,1,0,0,2,0.619758094,0,0,0,0,0.380241906,"0","0",102.58,73.75512259,111,83,-7.59,-11,57.949,0,3,0,1,"South"
"172",3010068,"East Orange County Water District",152.318,0.226699269,1,0,1,0,0,2,0.130337498,0,0,0,0,0.869662502,"0","0",197.08,193.5322695,215,209,-8.34,-7,120.625,1,3,2,1,"South"
"173",3010069,"Fountain Valley, City of",152.318,0.590132903,1,0,1,1,0,3,0.532359868,0,0,0.141309468,0,0.326330664,"0","0",119.8,86.25778244,141,73,-15.03,18,85.9375,0,2,0,1,"South"
"174",3010073,"Moulton Niguel Water District",158.28375,0.332222662,0,0,1,1,0,2,0,0,0,0.210364593,0,0.789635407,"0","0",126.25,87.11052903,139,104,-9.17,-16,95.813,0,3,0,1,"South"
"175",3010079,"El Toro Water District",158.28375,0.087196269,0,0,1,1,0,2,0,0,0,0.045685279,0,0.954314721,"0","0",139.14,94.50220036,173,107,-19.57,-12,95.048,0,3,0,1,"South"
"177",3010094,"Trabuco Canyon Water District",141.7345,0.499519961,1,1,1,1,0,4,0.090366581,0.028417164,0,0.213412901,0,0.667803353,"0","0",164.45,134.852561,179,91,-8.13,48,138.244,0,3,0,1,"South"
"178",3010100,"La Palma, City of",193.8227,0.471108499,1,0,1,0,0,2,0.620190476,0,0,0,0,0.379809524,"0.0,24.75","0,1",100.14,62.08510226,109,80,-8.13,-22,86.5,0,3,0,1,"South"
"179",3010101,"Santa Margarita Water District",120.5675,0.293676779,1,0,1,1,0,3,0.001902309,0,0,0.176387954,0,0.821709737,"0.0,0.0","0,0",135.69,113.8438176,152,97,-10.73,17,109.737,0,3,0,1,"South"
"180",3110001,"North Tahoe Public Utility District",190.8314,0.180957499,3,0,0,0,0,3,0,1,0,0,0,0,"0.0,0.0","0,0",123.47,106.6748844,155,132,-20.34,-19,70.972,NA,NA,NA,NA,"North"
"181",3110004,"Lincoln, City of",171.8005,0.187208748,1,0,1,0,0,2,0.104531131,0,0,0,0,0.895468869,"22.5","0",103,89.61123665,184,146,-44.02,-39,71.134,0,2,0,1,"North"
"182",3110008,"Roseville, City of",179.84045,0.069076331,0,0,3,1,0,4,0,0,0,0.035821334,0,0.964178666,"22.5","0",166.14,86.82348531,215,97,-22.73,-10,73.5825,0,3,0,3,"North"
"183",3110010,"Tahoe City Public Utility",192.57425,0.103315025,1,1,1,0,0,3,0.945698166,0.047954866,0,0,0,0.006346968,"0.0,0.0,17.0","0,0,0",95.52,45.56465284,126,93,-24.19,-51,68.182,0,1,0,1,"North"
"184",3110124,"Placer County Water Agency",173.95725,0.513821899,1,2,1,0,0,4,0.000690841,0.495638064,0,0,0,0.503671096,"","",208.52,154.3044887,272,169,-23.34,-9,49.6325,2,1,5,1,"North"
"185",3310002,"Beaumont-Cherry Valley Water District",53.92966667,0.445155817,1,0,1,0,0,2,0.66559617,0,0,0,0,0.33440383,"18.75,0.0","0,1",214,156.2176601,272,131,-21.32,19,55.817,0,2,0,1,"South"
"186",3310003,"Blythe, City of",-146.3971,0,0,0,0,0,0,0,0,0,0,0,0,0,"12.75,9.25","0,0",187.98,92.86396297,245,128,-23.27,-27,49.974,NA,NA,NA,NA,"South"
"187",3310005,"Desert Water Agnecy",26.5765,0.699134641,2,1,1,1,0,5,0.378688525,0.096721311,0,0.073770492,0,0.450819672,"0.0,0.0,19.25,12.25,18.75,15.75","0,0,0,0,0,0",232.13,156.777543,231,153,0.49,2,43.75,0,1,0,1,"South"
"188",3310007,"Coachella, City of",-13.9743,0,1,0,0,0,0,1,1,0,0,0,0,0,"19.25,12.25","0,0",264.34,192.437982,160,112,65.21,72,42.679,NA,NA,NA,NA,"South"
"189",3310008,"Mission Springs Water District",-13.9743,0,0,0,0,0,0,0,0,0,0,0,0,0,"19.25,12.25,18.75,15.75","0,0,0,0",176.45,114.6943882,204,133,-13.5,-14,35.574,NA,NA,NA,NA,"South"
"190",3310009,"Eastern Municipal Water District",61.9865,0.565600414,1,0,1,1,1,4,0.102133161,0,0.03749192,0.268261151,0,0.592113769,"0.0,0.0,0.0,0.0","1,0,1,1",125.92,99.47354894,163,124,-22.75,-20,55.579,2,2,4,1,"South"
"191",3310012,"Elsinore Valley Municipal Water District",95.62195,0.499264832,1,1,1,1,0,4,0.057348637,0.094361424,0,0.170428285,0,0.677861655,"0.0,0.0,0.0","1,0,1",127.97,97.25575558,148,111,-13.54,-12,70.862,0,2,0,1,"South"
"192",3310020,"Indio, City of",-13.9743,0,1,0,0,0,0,1,1,0,0,0,0,0,"19.25,12.25","0,0",183.85,132.368826,206,148,-10.75,-11,50.154,NA,NA,NA,NA,"South"
"193",3310021,"Jurupa Community Services District",108.636,0.503108138,2,1,1,0,0,4,0.604606932,0,0,0,0,0.395393068,"0.0,0.0","1,1",162.09,121.5668091,201,126,-19.36,-4,71.522,0,1,0,2,"South"
"194",3310022,"Lake Hemet Municipal Water District",67.1273,0.513615462,1,1,1,0,0,3,0.622035053,0.307363597,0,0,0,0.07060135,"0","1",131.3,102.0229744,157,91,-16.37,12,40.838,0,3,0,1,"South"
"195",3310031,"Riverside, City of",108.636,0.299443916,1,0,1,1,0,3,0.817283211,0,0,0.002163314,0,0.180553475,"0.0,0.0,0.0,0.0","0,1,1,1",175.12,150.6033594,208,125,-15.81,20,55.536,0,4,0,1,"South"
"196",3310032,"San Jacinto, City of",67.1273,0,1,0,0,0,0,1,1,0,0,0,0,0,"0","1",131.11,104.8844647,149,119,-12.01,-12,37.756,NA,NA,NA,NA,"South"
"197",3310038,"Rancho California Water District",91.28393333,0.583583776,1,1,2,1,0,5,0.299339298,0.033205744,0,0.106833752,0,0.560621206,"0","1",331.04,198.621957,222,193,49.12,3,81.243,0,4,0,2,"South"
"198",3310044,"Rubidoux Community Services District",108.636,0,1,0,0,0,0,1,1,0,0,0,0,0,"0","1",136.04,103.3940632,172,131,-20.9,-21,51.6405,1,0,1,0,"South"
"199",3310049,"Western Municipal Water District of Riverside",95.62195,0.176729658,2,0,3,1,0,6,0.048755419,0,0,0.006259142,0.039531421,0.905454018,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","1,0,0,0,1,1,1",188.42,116.821219,244,141,-22.78,-17,62.649,1,3,3,2,"South"
"200",3410001,"Sacramento Suburban Water District",187.8804,0.49347397,1,0,3,0,0,4,0.442877192,0,0,0,0,0.557122808,"22.5","0",145.21,109.141012,181,136,-19.77,-20,46.985,1,2,2,3,"North"
"201",3410002,"Sacramento County Water Agency",179.84045,0.378518396,1,0,1,1,0,3,0.754786451,0,0,0.018409426,0,0.226804124,"22.5","0",158.06,91.6760762,173,122,-8.63,-25,69.597,1,1,2,1,"North"
"202",3410004,"Carmichael Water District",187.8804,0.319982345,1,1,0,0,0,2,0.199985288,0.800014712,0,0,0,0,"22.25,22.5","0,0",166.23,144.8393932,222,137,-25.12,6,58.8955,NA,NA,NA,NA,"North"
"203",3410006,"Citrus Heights Water District",187.8804,0.201599909,1,0,1,0,0,2,0.113735783,0,0,0,0,0.886264217,"22.5","0",131.54,124.9618033,172,163,-23.52,-23,60.156,0,3,0,1,"North"
"204",3410008,"Elk Grove Water District",181.67015,0.492000381,1,0,1,0,0,2,0.563244048,0,0,0,0,0.436755952,"22.25","0",107.25,91.16616244,133,105,-19.36,-13,89.4655,0,2,0,1,"North"
"205",3410009,"Fair Oaks Water District",187.8804,0.18189549,1,0,1,0,0,2,0.101186441,0,0,0,0,0.898813559,"22.5","0",200.35,150.2601198,268,201,-25.24,-25,73.194,0,3,0,1,"North"
"206",3410011,"Galt, City of",191.5398,0,1,0,0,0,0,1,1,0,0,0,0,0,"15","0",152.96,122.3711957,211,168,-27.51,-27,61.8,NA,NA,NA,NA,"North"
"207",3410014,"Folsom, City of",177.44974,0.154317197,1,0,4,0,0,5,0.084258011,0,0,0,0,0.915741989,"22.25,22.5","0,0",237.24,142.3431972,294,176,-19.31,-19,100.3805,0,3,0,4,"North"
"208",3410015,"Golden State Water Company - Cordova",179.84045,0.481425292,1,1,0,0,0,2,0.403604588,0.596334729,0,0,0,0,"22.25,22.5","0,0",236.49,144.4928739,283,166,-16.44,-13,56.136,NA,NA,NA,NA,"North"
"209",3410016,"Orange Vale Water Company",187.8804,0,0,0,1,0,0,1,0,0,0,0,0,1,"22.5","0",160.45,98.51345745,284,238,-43.51,-59,61.875,0,3,0,1,"North"
"210",3410018,"Rio Linda - Elverta Community Water District",179.84045,0.001468428,1,0,1,0,0,2,1,0,0,0,0,0.000735294,"22.5","0",171.15,147.6982985,244,216,-29.86,-32,51.5455,0,3,0,1,"North"
"211",3410020,"Sacramento, City of",179.84045,0.271249773,1,1,0,0,0,2,0.16174901,0.837898154,0,0,0,0,"15.5,22.25,22.25,22.5","0,0,0,0",140.32,98.22723627,197,118,-28.77,-17,46.547,2,0,3,0,"North"
"212",3410021,"San Juan Water District",178.42135,0.453741988,0,1,3,0,0,4,0,0.347917765,0,0,0,0.652082235,"22.5","0",258.09,227.1201929,352,334,-26.68,-32,66.829,1,2,5,2,"North"
"213",3410023,"Fruitridge Vista Water Co",171.8005,0.4448935,1,0,1,0,0,2,0.665930425,0,0,0,0,0.333977545,"22.25","0",118.76,117.5750901,131,129,-9.34,-9,31.921,0,1,0,1,"North"
"214",3510001,"Hollister Urban Area",191.5605,0.693435485,3,0,1,1,0,5,0.705214249,0,0,0.034933746,0,0.259852005,"0.0,0.0,0.0","0,0,0",114.97,86.11509894,134,94,-14.2,-8,62.566,0,1,0,1,"North"
"216",3610001,"Adelanto, City of",38.0817,0,1,0,0,0,0,1,1,0,0,0,0,0,"21.75","1",114.21,83.94141336,159,115,-28.17,-27,21.25,NA,NA,NA,NA,"South"
"217",3610003,"Apple Valley Ranchos Water Company",-1.2029,0,1,0,0,0,0,1,1,0,0,0,0,0,"21.75","1",136.64,90.7265052,174,109,-21.47,-17,47.083,NA,NA,NA,NA,"South"
"218",3610004,"West Valley Water District",108.636,0.737285315,4,0,1,0,0,5,0.720111955,0,0,0,0,0.279888045,"0.0,0.0,0.0,0.0","1,1,1,1",207.19,145.0364875,253,170,-18.1,-15,53.854,0,2,0,1,"South"
"219",3610008,"Big Bear Community Services District",34.07425,0,1,0,0,0,0,1,1,0,0,0,0,0,"0","1",67.61,64.22655589,83,75,-18.55,-14,48.125,NA,NA,NA,NA,"South"
"220",3610012,"Chino, City of",108.636,0.665745393,1,0,2,1,0,4,0.317097077,0,0,0.357666411,0,0.325236512,"0","1",141.97,112.1536922,174,99,-18.41,13,70,0,3,0,2,"South"
"221",3610013,"Loma Linda, City of",108.636,0.014898372,1,1,0,0,0,2,0.992494481,0.007505519,0,0,0,0,"0.0,0.0,0.0,0.0","1,1,1,1",176.76,128.5066024,213,152,-17.01,-15,57.28,NA,NA,NA,NA,"South"
"222",3610014,"Colton, City of",108.636,0,0,0,1,0,0,1,0,0,0,0,0,1,"0.0,0.0,0.0,0.0","1,1,1,1",169.16,89.99351019,200,112,-15.42,-20,42.344,0,2,0,1,"South"
"223",3610015,"Crestline Village Water District",38.0817,0.425448485,1,0,1,0,0,2,0.693069307,0,0,0,0,0.306930693,"","",72.62,50.70409794,78,52,-6.9,-2,45.1385,0,2,0,1,"South"
"224",3610018,"Cucamonga Valley Water District",108.636,0.594155994,1,1,1,1,0,4,0.405018473,0.067631363,0,0.042111385,0,0.485238779,"0.0,0.0","1,1",182.96,138.137691,214,135,-14.5,2,77.969,0,3,0,1,"South"
"226",3610024,"Hesperia, City of Water District",38.0817,0,1,0,0,0,0,1,1,0,0,0,0,0,"21.75","1",121.68,99.7801711,165,94,-26.25,6,47.874,NA,NA,NA,NA,"South"
"227",3610025,"Joshua Basin Water District",-40.4875,0.465798817,1,1,0,0,0,2,0.630769231,0.369230769,0,0,0,0,"15.25,0.0,0.0,8.75,0.0,0.0","1,0,0,0,0,0",128.43,82.98901032,157,141,-18.19,-41,44.375,NA,NA,NA,NA,"South"
"228",3610029,"Monte Vista Water District",108.636,0.397032371,1,0,3,1,0,5,0.739695193,0,0,0.025416178,0,0.234888628,"21.25,0.0","1,1",132.96,89.08443901,149,96,-10.76,-7,52.522,1,5,1,3,"South"
"229",3610034,"Ontario, City of",108.636,0.531101156,1,0,2,1,0,4,0.568594996,0,0,0.053616975,0,0.377788028,"0","1",158.07,86.93675896,181,98,-12.67,-11,54.583,0,4,0,2,"South"
"230",3610036,"Chino Hills, City of",151.22935,0.29608241,1,0,3,1,0,5,0.082562521,0,0,0.087073199,0,0.830421377,"0.0,21.25,0.0","0,1,1",153.06,110.6628324,169,127,-9.43,-13,106.581,0,6,0,3,"South"
"231",3610037,"Redlands, City of",108.636,0.568655174,1,1,1,1,0,4,0.484989993,0.437180342,0,0.070332603,0,0.007497062,"0.0,0.0,0.0","1,1,1",263.01,181.4792507,305,211,-13.77,-14,63.594,0,2,0,1,"South"
"232",3610038,"Rialto, City of",108.636,0.550125938,1,1,1,0,0,3,0.555279085,0.076328178,0,0,0,0.368392737,"0.0,0.0,0.0,0.0","1,1,1,1",144.91,102.8872012,173,121,-16.24,-15,48.765,0,2,0,1,"South"
"233",3610043,"Golden State Water Company - Barstow",38.0817,0,1,0,0,0,0,1,1,0,0,0,0,0,"11.25,15.25","1,1",150.3,97.39119186,194,112,-22.53,-13,45.817,NA,NA,NA,NA,"South"
"234",3610045,"Big Bear Lake, City of",38.0817,0.046917077,1,0,1,0,0,2,0.975963719,0,0,0,0,0.024036281,"","",72.7,57.85788945,84,60,-13.45,-4,56.345,0,2,0,1,"South"
"235",3610049,"Twentynine Palms Water District",-40.4875,0,1,0,0,0,0,1,1,0,0,0,0,0,"0.0,8.75,0.0","0,0,0",113.82,96.74731087,144,123,-20.96,-21,38.821,NA,NA,NA,NA,"South"
"236",3610050,"Upland, City of",108.636,0.364106544,1,0,3,0,0,4,0.239334068,0,0,0,0,0.760665932,"21.25,0.0,0.0","1,1,1",195.99,135.2306512,234,166,-16.25,-19,71.8495,2,4,1,3,"South"
"237",3610052,"Victorville Water District",38.0817,0.017517392,1,0,0,1,0,2,0.991163215,0,0,0.008836785,0,0,"21.75","1",137,116.4533825,173,147,-20.81,-21,40.5745,NA,NA,NA,NA,"South"
"238",3610055,"Yucaipa Valley Water District",108.636,0.574618293,1,1,2,1,0,5,0.542878393,0.027445147,0,0.077724061,0,0.351952399,"0.0,0.0","1,1",193.13,168.0194451,258,227,-25.15,-26,60.226,0,2,0,2,"South"
"239",3610057,"Riverside Highland Water Company",108.636,0,1,0,0,0,0,1,1,0,0,0,0,0,"0.0,0.0,0.0","1,1,1",167.66,100.5969484,225,189,-25.48,-47,71.532,NA,NA,NA,NA,"South"
"240",3610064,"East Valley Water District",108.636,0.248344186,1,1,0,0,0,2,0.854722296,0.145277704,0,0,0,0,"0","1",150.06,117.0446187,167,129,-10.15,-9,49.3,NA,NA,NA,NA,"South"
"241",3610073,"Hi-Desert WD",-27.2309,0.44739138,3,0,1,1,0,5,0.841153035,0,0,0.038434497,0,0.120412468,"15.25,0.0,0.0","1,0,0",106.16,74.54245201,129,78,-17.71,-4,44.375,0,2,0,1,"South"
