"","pwsid","district","severity","simpson","ground","surf","imported","recycled","desal","tot.source","propground","propsurf","propdesal","proprecyc","propbank","propimport","casgem","adj","totgpcd15","rgpcd15","totgpcd10","rgpcd10","changetot","changer","medinc","buyertier","sellertier","buyers","sellers","region"
"242",3610120,"Phelan Pinon Hills Community Services District",91.0842,0,1,0,0,0,0,1,1,0,0,0,0,0,"0.0,21.75,15.75,21.5","1,1,1,0",95.81,75.68833135,130,124,-26.3,-39,49.651,NA,NA,NA,NA,"South"
"243",3610121,"San Bernardino County Service Area 64",38.0817,0,1,0,0,0,0,1,1,0,0,0,0,0,"21.75","1",160.76,109.4759059,201,143,-20.02,-23,55.4,NA,NA,NA,NA,"South"
"244",3710001,"CA-American Water - San Diego",94.65275,0,0,0,1,0,0,1,0,0,0,0,0,1,"0.0,0.0","0,0",84.3,62.37982761,94,68,-10.32,-8,58.66,0,4,0,1,"South"
"245",3710002,"Vallecitos Water District",92.7825,0,0,0,1,0,0,1,0,0,0,0,0,1,"0","0",125.37,79.61082564,129,87,-2.81,-8,61.7535,0,3,0,1,"South"
"246",3710005,"Carlsbad Municipal Water District",92.7825,0,0,0,1,0,0,1,0,0,0,0,0,1,"0","0",150.8,98.01827142,167,108,-9.7,-9,82.252,0,3,0,1,"South"
"247",3710006,"Escondido, City of",97.27765,0.337532007,0,1,1,1,0,3,0,0.060511848,0,0.139981043,0,0.799507109,"19.0,0.0","0,0",126.47,73.09902881,144,80,-12.17,-9,52.426,0,3,0,1,"South"
"248",3710008,"Fallbrook PUD",99.83566667,0.079228947,0,1,1,1,0,3,0,0.00163372,0,0.03961771,0,0.95874857,"","",261.24,224.6662887,166,147,57.37,53,55.6485,0,3,0,1,"South"
"249",3710010,"Helix Water District",101.7728,0.158339396,1,1,1,0,0,3,0.003884255,0.082412454,0,0,0,0.913703291,"0.0,15.75","0,0",92.42,73.9380619,100,80,-7.58,-8,56.349,0,3,0,1,"South"
"250",3710013,"Lakeside Water District",101.7728,0.280156096,1,0,1,0,0,2,0.168455203,0,0,0,0,0.831544797,"15.75","0",82.7,74.42876924,94,84,-12.02,-11,68.939,0,3,0,1,"South"
"251",3710014,"Oceanside, City of",92.7825,0.289121194,1,0,1,1,0,3,0.169070209,0,0,0.004933586,0,0.825996205,"0.0,0.0","1,0",122.72,79.76977676,129,84,-4.87,-5,59.135,0,3,0,1,"South"
"252",3710015,"Poway, City of",101.7728,0,0,0,2,0,0,2,0,0,0,0,0,1,"0","0",163.02,119.0061312,196,143,-16.83,-17,102.031,0,4,0,2,"South"
"253",3710016,"Rainbow Municipal Water District",89.46975,0,0,0,1,0,0,1,0,0,0,0,0,1,"0.0,0.0","0,1",812.14,140.4997408,259,186,213.57,-24,69.935,0,3,0,1,"South"
"254",3710019,"Ramona Municipal Water District",101.7728,0.196900597,0,0,1,1,0,2,0,0,0,0.11070615,0,0.88929385,"0","0",101.91,101.9054487,126,126,-19.12,-19,92.672,0,3,0,1,"South"
"255",3710020,"San Diego, City of",94.65275,0.313646594,1,1,1,1,0,4,0.00224712,0.130332978,0,0.050856827,0,0.816563074,"0.0,0.0,0.0,0.0,15.75,0.0,0.0,19.0","0,0,0,0,0,0,0,0",111.71,60.21079607,116,63,-3.7,-4,65.1475,1,3,2,1,"South"
"256",3710021,"San Dieguito Water District",92.7825,0.468815637,0,1,1,1,0,3,0,0.681626271,0,0.07005473,0,0.248318999,"0","0",134.94,102.8219964,145,116,-6.94,-11,84.286,0,3,0,1,"South"
"257",3710023,"Santa Fe Irrigation District",97.27765,0.53911118,0,1,1,1,0,3,0,0.479516454,0,0.041722633,0,0.478760913,"0.0,0.0","0,0",386.35,324.5316599,442,372,-12.59,-13,110.216,0,3,0,1,"South"
"258",3710025,"Sweetwater Authority",101.7728,0.44281682,1,1,1,0,0,3,0.257321472,0.043327723,0,0,0,0.699350805,"0.0,0.0","0,0",82.2,59.54591515,87,62,-5.52,-4,48.0095,0,3,0,1,"South"
"259",3710026,"Valley Center Municipal Water District",97.27765,0.002976385,0,0,1,1,0,2,0,0,0,0.001490414,0,0.998509586,"0","0",740.9,159.293893,254,191,191.69,-17,73.482,0,3,0,1,"South"
"260",3710027,"Vista Irrigation District",92.7825,0.32322947,0,1,1,0,0,2,0,0.202703405,0,0,0,0.797296595,"0","0",113.67,77.29315118,126,84,-9.79,-8,51.625,0,3,0,1,"South"
"261",3710029,"Olivenhain, City of",97.27765,0.20824992,0,0,1,1,0,2,0,0,0,0.118064089,0,0.881935911,"0.0,0.0,0.0","0,0,0",178.64,139.3415106,191,129,-6.47,8,107.961,0,3,0,1,"South"
"262",3710034,"Otay Water District",94.65275,0.214505459,0,0,1,1,0,2,0,0,0,0.122180902,0,0.877819098,"0","0",108.58,72.74677332,119,70,-8.76,4,83.2115,0,3,0,1,"South"
"264",3710044,"Rincon del Diablo Municipal Water District",101.7728,0.455636034,0,0,1,1,0,2,0,0,0,0.35106383,0,0.64893617,"19","0",150.3,103.7038617,180,126,-16.5,-18,108.843,0,3,0,1,"South"
"265",3810011,"San Francisco Public Utilities Commission",133.3376333,0.016329482,1,1,0,0,0,2,0.008232515,0.991767485,0,0,0,0,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","0,0,0,0,0,0,0",77.14,45.04992553,77,42,0.18,7,83.4665,2,0,25,0,"North"
"266",3910001,"CA Water Sercice Co - Stockton",192.3117,0.298793939,1,0,1,0,0,2,0.182820193,0,0,0,0,0.817179807,"19.0,25.5","0,0",115.46,60.61611929,139,79,-16.94,-23,36.8635,0,2,0,1,"North"
"267",3910004,"Lodi, City of",191.5398,0.435947155,1,0,0,1,0,2,0.678959276,0,0,0.321040724,0,0,"25.5,15.0","0,0",167.45,108.3410631,216,140,-22.48,-23,53.319,NA,NA,NA,NA,"North"
"269",3910011,"Tracy, City of",185.8023,0.058027237,1,0,2,0,0,3,0.029908114,0,0,0,0,0.970091886,"19","0",142.56,112.6205287,177,127,-19.46,-11,67.865,0,1,0,2,"North"
"270",3910012,"Stockton, City of",192.3117,0.26235985,1,0,1,0,0,2,0.155297121,0,0,0,0,0.844702879,"19.0,25.5","0,0",124.88,88.66182424,155,110,-19.43,-19,52.069,0,2,0,1,"North"
"271",4010001,"Arroyo Grande, City of",185.2398,0.512691834,2,2,0,0,0,4,0.369891906,0.630108094,0,0,0,0,"24","1",117.03,93.62214346,130,104,-9.98,-10,61.677,NA,NA,NA,NA,"North"
"272",4010004,"Grover Beach, City of",185.2398,0.564986515,2,1,0,0,0,3,0.637516991,0.362483009,0,0,0,0,"24","1",84.96,69.66928002,89,73,-4.54,-5,49.4745,NA,NA,NA,NA,"North"
"273",4010007,"Paso Robles, City of",210.7427,0.465984292,1,0,0,0,0,1,1,0,0,0,0,0,"0","0",151.09,102.5882752,189,119,-20.06,-14,60.221,NA,NA,NA,NA,"North"
"274",4010008,"Pismo Beach, City of",185.2398,0.371806374,1,0,2,0,0,3,0.246826516,0,0,0,0,0.753173484,"24","1",198.07,91.11012607,216,100,-8.3,-9,78.274,0,1,0,2,"North"
"275",4010009,"San Luis Obispo, City of",202.2417333,0.456313389,0,1,1,1,0,3,0,0.662782924,0,0.014420781,0,0.322796295,"24.0,0.0,0.0","1,0,0",92.28,55.36613939,101,61,-8.64,-9,65.491,0,1,0,1,"North"
"276",4010011,"Morro Bay, City of",185.2398,0.466855637,1,0,1,0,1,3,0.10166799,0,0.204924543,0,0,0.693407466,"0.0,0.0,0.0","0,0,0",94.86,63.55933841,105,66,-9.65,-4,61.8685,0,1,0,1,"North"
"277",4010014,"Cambria Community Services District",185.2398,0,1,0,0,0,0,1,1,0,0,0,0,0,"0","0",69,40.70713242,73,37,-5.49,10,61.302,NA,NA,NA,NA,"North"
"278",4010026,"Nipomo Community Services District",199.99795,0,1,0,0,0,0,1,1,0,0,0,0,0,"24","1",139.09,115.4479048,159,134,-12.52,-14,59.242,NA,NA,NA,NA,"North"
"279",4110001,"Mid-Peninsula Water District",159.4417,0,0,0,1,0,0,1,0,0,0,0,0,1,"0","0",86.78,73.76357617,97,82,-10.54,-10,109.196,0,1,0,1,"North"
"280",4110003,"Burlingame, City of",159.4417,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0,0.0","0,0",105.79,65.27502062,114,62,-7.2,5,117.982,NA,NA,NA,NA,"North"
"281",4110006,"CA Water Service Co - Bear Gulch",153.26285,0.153852935,0,1,1,0,0,2,0,0.083985434,0,0,0,0.916092043,"20.25,0.0","0,0",147.2,123.2057895,189,165,-22.12,-25,148.214,0,1,0,1,"North"
"282",4110008,"CA Water Service Co - Mid Peninsula District",159.4417,0,0,0,1,0,0,1,0,0,0,0,0,1,"0","0",84.58,60.30687348,93,67,-9.05,-10,98.7,0,1,0,1,"North"
"283",4110009,"CA Water Service Co - South San Francisco",148.61835,0.101090338,1,0,1,0,0,2,0.053396338,0,0,0,0,0.946603662,"0.0,0.0","0,0",103.02,43.47336458,106,43,-2.81,1,72.6685,0,1,0,1,"North"
"284",4110011,"Coastside Co Water District",137.795,0.185711153,1,2,1,0,0,4,0.008388521,0.09183223,0,0,0,0.899779249,"0","0",101.48,76.10678817,114,69,-10.99,10,110.607,0,1,0,1,"North"
"285",4110013,"Daly City, City of",148.61835,0.444182596,1,0,1,1,0,3,0.222038217,0,0,0.069681529,0,0.708280255,"0.0,0.0,0.0","0,0,0",56.14,52.77061642,53,50,5.92,6,81.0325,0,1,0,1,"North"
"286",4110016,"Hillsborough, Town of",159.4417,0,0,0,1,0,0,1,0,0,0,0,0,1,"0.0,0.0","0,0",205.3,180.6603485,290,255,-29.21,-29,169.4795,0,1,0,1,"North"
"288",4110018,"Millbrae, City of",159.4417,0.011796675,0,0,1,1,0,2,0,0,0,0.005933544,0,0.994066456,"0","0",86.72,62.44082942,89,64,-2.56,-2,96.895,0,1,0,1,"North"
"289",4110021,"Estero Municipal-Foster City",159.4417,0,0,0,1,0,0,1,0,0,0,0,0,1,"0","0",100.93,67.62224937,132,75,-23.54,-10,115.341,0,1,0,1,"North"
"290",4110022,"Redwood City, City of",153.26285,0,1,0,0,0,0,1,1,0,0,0,0,0,"0","0",83.31,63.5675088,89,62,-6.39,3,97.321,0,1,0,1,"North"
"291",4110023,"San Bruno, City of",148.61835,0.484143366,1,0,2,0,0,3,0.588897041,0,0,0,0,0.410858401,"0","0",60.54,47.22268651,57,41,6.21,15,90.5035,0,2,0,2,"North"
"292",4110024,"East Palo Alto, City of",153.26285,0.016447829,1,0,1,0,0,2,0.008292683,0,0,0,0,0.991707317,"20.25,0.0","0,0",47.68,42.91269129,50,45,-4.64,-5,60.574,0,1,0,1,"North"
"293",4110025,"North Coast County Water District",137.795,0,0,0,1,0,0,1,0,0,0,0,0,1,"0","0",56.09,46.55432089,67,48,-16.28,-3,103.0955,1,1,1,1,"North"
"294",4110027,"Westborough Water District",148.61835,0,0,0,1,0,0,1,0,0,0,0,0,1,"0","0",52.01,48.97892713,61,52,-14.74,-6,91.652,0,1,0,1,"North"
"295",4210001,"Carpenteria Valley Water District",212.0535,0.396108744,1,0,2,0,0,3,0.272084165,0,0,0,0,0.727915835,"0.0,0.0","0,0",253.29,80.54661519,109,78,132.38,3,68.194,0,1,0,2,"South"
"296",4210004,"Goleta Water District",212.0535,0.352016681,1,0,2,1,0,4,0.141378895,0,0,0.069185417,0,0.789435688,"0.0,0.0,18.75","0,0,1",118.17,48.45047438,116,51,1.87,-5,87.266,0,1,0,2,"South"
"297",4210006,"Lompoc, City of",212.8082,0.006649778,1,1,0,1,0,3,0.996666667,0.002,0,0.001333333,0,0,"17.25","0",89.2,71.36102805,87,59,2.53,21,53.5525,NA,NA,NA,NA,"North"
"298",4210010,"Santa Barbara, City of",212.0535,0.570089769,1,2,2,1,0,6,0.073979916,0.26395068,0,0.044235414,0,0.61783399,"0.0,0.0,0.0","0,0,0",96.46,78.13650968,94,66,2.62,18,75.1715,0,2,0,2,"South"
"299",4210011,"Santa Maria, City of",214.7561,0.590884077,2,0,1,0,0,3,0.728051435,0,0,0,0,0.271948565,"24","1",105.11,70.42508841,120,83,-12.41,-15,55.7245,0,2,0,1,"North"
"300",4210016,"Golden State Water Company - Orcutt",214.7561,0.024891188,1,0,1,0,0,2,0.987395534,0,0,0,0,0.012604466,"24","1",156.55,133.0644802,175,145,-10.54,-8,75.909,0,2,0,1,"North"
"301",4310001,"Ca Water Service Co - Los Altos Suburban District",147.084,0.413099028,1,0,1,0,0,2,0.291552198,0,0,0,0,0.708447802,"20.25","0",132.78,98.12559337,156,119,-14.88,-18,140.089,0,2,0,1,"North"
"302",4310004,"Gilroy, City of",191.5605,0.499765795,1,0,0,1,0,2,0.510821382,0,0,0.489178618,0,0,"0","0",115.5,75.0762486,137,89,-15.69,-16,74.6095,NA,NA,NA,NA,"North"
"303",4310005,"Milpitas, City of",147.084,0.104201428,0,0,2,1,0,3,0,0,0,0.055141274,0,0.944858726,"20.25","0",109.22,51.33456142,119,53,-8.22,-3,97.3605,0,2,0,2,"North"
"304",4310006,"Morgan Hill, City of",169.32225,0.236671225,2,0,0,0,0,2,1,0,0,0,0,0,"0.0,20.25","0,0",117.93,63.6816487,154,90,-23.42,-29,97.124,NA,NA,NA,NA,"North"
"305",4310007,"Mountain View, City of",147.084,0.143705033,1,0,2,1,0,4,0.041945717,0,0,0.034279168,0,0.923775115,"20.25","0",99.36,81.71563945,194,140,-48.78,-42,108.75,0,2,0,2,"North"
"306",4310009,"Palo Alto, City of",142.4395,0.115234432,0,0,1,1,0,2,0,0,0,0.061385381,0,0.938614619,"20.25,0.0","0,0",132.22,75.36801663,172,81,-23.13,-7,143.493,0,1,0,1,"North"
"307",4310011,"San Jose Water Company",138.58065,0.600984116,1,1,1,1,0,4,0.384072565,0.120000601,0,0.009078202,0,0.486848632,"20.25","0",122.1,75.70039469,108,75,13.05,1,88.157,0,2,0,1,"North"
"308",4310012,"Santa Clara, City of",147.084,0.540134907,1,0,2,1,0,4,0.602222797,0,0,0.103773585,0,0.294046696,"20.25","0",130.91,64.93182365,137,68,-4.44,-5,93.75,0,2,0,2,"North"
"309",4310014,"Sunnyvale, City of",147.084,0.261330597,1,0,2,1,0,4,0.075890985,0,0,0.070952714,0,0.853156301,"20.25","0",93.04,63.8890033,102,65,-8.79,-2,105.2185,0,2,0,2,"North"
"310",4310020,"San Jose, City of",147.084,0.303868624,1,0,2,1,0,4,0.029967251,0,0,0.149791396,0,0.820241353,"20.25","0",95.33,66.72945897,140,80,-31.91,-17,99.583,0,2,0,2,"North"
"311",4310022,"Great Oaks Water Company",147.084,0,1,0,0,0,0,1,1,0,0,0,0,0,"20.25","0",80.62,62.88506811,93,73,-13.31,-14,98.684,NA,NA,NA,NA,"North"
"313",4410010,"Santa Cruz, City of",130.0773,0.673700731,1,3,0,0,0,4,0.041186681,0.95889222,0,0,0,0,"0.0,20.75,0.0,0.0,0.0,14.25","0,0,0,0,0,0",71.99,42.25620104,77,43,-6.51,-2,67.9945,1,0,1,0,"North"
"314",4410011,"Watsonville, City of",160.8189,0.275235403,1,1,0,1,0,3,0.843848889,0.093760988,0,0.062390124,0,0,"0.0,14.25","0,0",93.18,63.6408907,89,77,4.69,-17,51.5455,NA,NA,NA,NA,"North"
"315",4410013,"Scotts Valley Water District",130.0773,0.178192545,1,0,0,1,0,2,0.901128069,0,0,0.098871931,0,0,"0.0,14.25","0,0",94.2,65.93670555,104,73,-9.43,-10,109.712,NA,NA,NA,NA,"North"
"316",4410017,"Soquel Creek Water District",130.0773,0.001956945,1,0,1,0,0,2,0.999020568,0,0,0,0,0.000979432,"0.0,0.0,14.25","0,0,0",71.36,54.52002141,77,57,-7.32,-4,75.833,0,1,0,1,"North"
"317",4510005,"Redding, City of",98.7672,0.587771331,1,2,0,0,0,3,0.288504391,0.711495609,0,0,0,0,"0.0,0.0","0,0",208.19,143.652608,281,197,-25.91,-27,46.184,NA,NA,NA,NA,"North"
"318",4510006,"Shasta Lake, City of",89.24033333,0.176355823,0,0,2,0,0,2,0,0,0,0.097728837,0,0.902271163,"","",146.84,108.6612182,194,149,-24.31,-27,46.25,0,1,0,2,"North"
"319",4710011,"Yreka, City of",36.8692,0.656096772,0,6,0,0,0,6,0,1,0,0,0,0,"0","0",223.31,89.32345541,355,160,-37.1,-44,39.279,NA,NA,NA,NA,"North"
"320",4810001,"Benecia, City of",135.3593,0.474833013,0,2,3,0,0,5,0,0.364540182,0,0,0,0.635459818,"0","0",133.16,71.90877499,160,86,-16.77,-16,85.5835,0,2,0,3,"North"
"321",4810002,"CA Water Service Co - Dixon District",171.8005,0,1,0,0,0,0,1,1,0,0,0,0,0,"15.5","0",103.9,89.04127816,125,111,-16.88,-20,61.25,NA,NA,NA,NA,"North"
"322",4810003,"Fairfield, City of",135.3593,0,0,0,1,0,0,1,0,0,0,0,0,1,"0","0",147.06,88.23452381,178,91,-17.38,-3,65.833,0,2,0,1,"North"
"323",4810004,"Rio Vista, City of",171.8005,0,1,0,0,0,0,1,1,0,0,0,0,0,"15.5","0",206.41,144.486252,275,193,-24.94,-25,62.793,NA,NA,NA,NA,"North"
"324",4810007,"Vallejo, City of",119.06775,0.216894267,0,1,2,0,0,3,0,0.123764879,0,0,0,0.876235121,"0","0",106.9,85.52015908,115,76,-7.04,13,59.1475,1,1,2,2,"North"
"325",4810008,"Vacaville, City of",153.5799,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0,15.5","0,0",124.8,109.8229501,169,149,-26.15,-26,75.4185,NA,NA,NA,NA,"North"
"326",4910004,"Sweetwater Springs Water District",71.924,0,1,0,0,0,0,1,1,0,0,0,0,0,"0","0",75.91,63.00892324,86,71,-11.73,-11,44.4085,1,0,1,0,"North"
"327",4910006,"Petaluma, City of",102.7762,0.220060969,1,0,1,0,0,2,0.125875,0,0,0,0,0.874125,"0.0,0.0","0,0",111.75,65.92391554,125,77,-10.6,-14,80.764,0,1,0,1,"North"
"328",4910009,"Santa Rosa, City of",87.3501,0.107342733,1,0,1,0,0,2,0.045973496,0,0,0.010397554,0,0.94362895,"0.0,0.0,18.75","0,0,0",86.45,64.83814239,113,80,-23.49,-19,58.7395,0,1,0,1,"North"
"329",4910012,"Sonoma, City of",102.7762,0.498484619,1,0,1,1,0,3,0.013026356,0,0,0.40896698,0,0.578006665,"0","0",136.08,92.94363971,149,113,-8.67,-18,72.3345,0,1,0,1,"North"
"330",4910013,"Valley of the Moon Water District",102.7762,0.232562807,1,0,1,0,0,2,0.134324465,0,0,0,0,0.865675535,"0","0",90.18,84.31651624,112,75,-19.48,12,60.0085,0,1,0,1,"North"
"331",4910014,"Rohnert Park, City of",87.3501,0.572622542,1,0,1,1,0,3,0.300417774,0,0,0.134827193,0,0.564755032,"18.75","0",87.35,61.05555019,102,65,-14.37,-6,59.85,0,1,0,1,"North"
"332",4910017,"Windsor, town of Water District",71.924,0,0,0,1,0,0,1,0,0,0,0,0,1,"18.75","0",98.76,72.09260519,122,87,-19.05,-17,69.6975,0,1,0,1,"North"
"333",4910018,"CA Water Service Co - Redwood Valley",71.924,0.386514329,1,0,2,0,0,3,0.261792453,0,0,0,0,0.738207547,"0","0",75.48,73.43890233,80,76,-5.65,-3,40.9,0,1,0,2,"North"
"334",5010017,"Patterson, City of",199.1403,0,1,0,0,0,0,1,1,0,0,0,0,0,"22.25","0",131.14,108.8493376,181,141,-27.54,-23,44.3105,NA,NA,NA,NA,"North"
"335",5010018,"Riverbank, City of",199.1403,0,1,0,0,0,0,1,1,0,0,0,0,0,"23.5,25.5","0,0",130.7,117.6313491,190,171,-31.21,-31,48.0725,NA,NA,NA,NA,"North"
"336",5010019,"Turlock, City of",199.1403,0.093741382,1,0,0,1,0,2,0.95069869,0,0,0.04930131,0,0,"21.5","0",214.08,103.8062429,283,153,-24.35,-32,43.372,NA,NA,NA,NA,"North"
"337",5010028,"Ceres, City of",199.1403,0,1,0,0,0,0,1,1,0,0,0,0,0,"21.5,23.5","0,0",122.26,91.69711352,162,119,-24.53,-23,37.91,NA,NA,NA,NA,"North"
"338",5010033,"Modesto, City of",199.1403,0.498791648,1,0,1,0,0,2,0.524571854,0,0,0,0,0.475412633,"22.25","0",188.32,142.3896846,228,180,-17.4,-21,45.8165,0,1,0,1,"North"
"341",5110002,"Yuba City, City of",187.927,0.771815075,1,3,1,0,0,5,0.098879688,0.608865075,0,0,0,0.292255236,"14.5,17.5,14.25","0,0,0",171.71,113.3310656,215,142,-20.13,-20,43.96,0,1,0,1,"North"
"342",5210004,"Red Bluff, City of",134.2302,0,1,0,0,0,0,1,1,0,0,0,0,0,"20.25,16.0","0,0",200.8,136.7428307,274,193,-26.72,-29,40.0635,NA,NA,NA,NA,"North"
"343",5410002,"Dinuba, City of",217.0267,0,1,0,0,0,0,1,1,0,0,0,0,0,"22.75","0",144.94,97.10799374,182,118,-20.36,-18,41.175,NA,NA,NA,NA,"North"
"344",5410003,"Exeter, City of",217.0267,0,0,0,0,0,0,0,0,0,0,0,0,0,"26.5","0",155.62,127.6063777,210,176,-25.9,-28,47.3055,NA,NA,NA,NA,"North"
"345",5410010,"Porterville, City of",217.0267,0,1,0,0,0,0,1,1,0,0,0,0,0,"22.25,26.5","0,0",138,99.35713023,165,122,-16.37,-19,42.015,NA,NA,NA,NA,"North"
"346",5410015,"Tulare, City of",217.0267,0,1,0,0,0,0,1,1,0,0,0,0,0,"26.5","0",219.44,100.0655989,263,145,-16.56,-31,43.608,NA,NA,NA,NA,"North"
"347",5410041,"CA Water Service Co - Visalia",217.0267,0,1,0,0,0,0,1,1,0,0,0,0,0,"26.5","0",160.06,113.1651839,221,157,-27.57,-28,71.729,NA,NA,NA,NA,"North"
"348",5510003,"Tuolumne Utilities District",194.2638,0.208774336,1,1,0,1,0,3,0.047393536,0.885691562,0,0.066878751,0,0,"","",115.42,113.1135522,136,69,-15.13,64,48.235,NA,NA,NA,NA,"North"
"349",5510009,"Groveland Community Services District",194.2638,0.330303317,0,0,1,1,0,2,0,0,0,0.208712614,0,0.791287386,"","",94.41,90.63417293,106,99,-10.93,-8,35.125,0,1,0,1,"North"
"350",5610007,"Oxnard, City of",200.4460667,0.341544745,1,0,2,0,0,3,0.218525974,0,0,0,0,0.781474026,"26.75,17.25","0,0",103.21,54.42031773,110,67,-6.18,-19,58.354,0,3,0,2,"South"
"351",5610009,"Port Hueneme, City of",196,0,0,0,1,0,0,1,0,0,0,0,0,1,"26.75","0",78.8,48.8536261,79,53,-0.26,-8,58.86,0,4,0,1,"South"
"352",5610011,"Santa Paula, City of",200.7674,0.153172302,1,1,0,0,0,2,0.916429885,0.083570115,0,0,0,0,"20.5","1",116.24,94.61530261,122,79,-4.73,20,52.964,NA,NA,NA,NA,"South"
"355",5610023,"Ventura County Waterworks District #8",195.98625,0.0679042,1,0,1,0,0,2,0.032491722,0,0,0.002607616,0,0.964900662,"0.0,0.0,0.0","0,0,0",167.17,110.3327564,189,125,-11.55,-12,91.6795,0,3,0,1,"South"
"356",5610024,"Casitas Municipal Water District",205.7972333,0.028376332,1,1,0,0,0,2,0.014395393,0.985604607,0,0,0,0,"17.25,0.0,0.0,0.0,0.0,18.25","0,0,0,0,0,0",1069.46,110.1541421,1573,156,-32.01,-29,61.928,1,0,2,0,"South"
"357",5610040,"CA-American Water - Ventura",196,0,0,0,1,0,0,1,0,0,0,0,0,1,"0.0,13.0,0.0","0,0,0",201.34,132.8861842,220,147,-8.48,-10,100.625,0,3,0,1,"South"
"358",5610043,"Triunfo Sanitation District",196,0.359675219,0,0,1,1,0,2,0,0,0,0.235118157,0,0.764881843,"0","0",144.92,128.9826265,158,140,-8.28,-8,129.75,0,3,0,1,"South"
"361",5610059,"Golden State Water Company - Simi Valley",196,0.222623032,1,0,1,0,0,2,0.127590972,0,0,0,0,0.872409028,"0","0",109.98,83.80698718,120,88,-8.35,-5,85.349,0,3,0,1,"South"
"362",5610063,"Camrosa Water District",196,0.689858748,3,1,1,1,0,6,0.181330198,0.452584224,0,0.077807883,0,0.288277695,"13.0,0.0,0.0,0.0,0.0","0,0,0,0,0",197.01,134.5006726,195,153,1.03,-12,104.071,0,3,0,1,"South"
"364",5710001,"Davis City of",171.8005,0,1,0,0,0,0,1,1,0,0,0,0,0,"22.25","0",121.2,84.84195124,154,101,-21.3,-16,68.833,NA,NA,NA,NA,"North"
"365",5710003,"West Sacramento, City of",171.8005,0,0,1,0,0,0,1,0,1,0,0,0,0,"22.25,22.25,22.5","0,0,0",177.88,115.6204753,214,109,-16.88,6,49.7745,NA,NA,NA,NA,"North"
"366",5710006,"Woodland, City of",171.8005,0,1,0,0,0,0,1,1,0,0,0,0,0,"22.25","0",133.69,81.89824347,161,101,-16.96,-19,57.0905,NA,NA,NA,NA,"North"
"367",5810001,"CA Water Service Co - Marysville",187.9097,0,1,0,0,0,0,1,1,0,0,0,0,0,"14.25","0",127.68,86.18152151,164,106,-22.15,-19,39.583,NA,NA,NA,NA,"North"
"368",5810002,"Linda County Water District",187.927,0,1,0,0,0,0,1,1,0,0,0,0,0,"14.5","0",135.33,121.7970493,165,149,-17.98,-18,34.169,NA,NA,NA,NA,"North"
"369",5810003,"Olivehurst Public Utilities District",187.9635,0,1,0,0,0,0,1,1,0,0,0,0,0,"14.5","0",135.98,126.4634447,125,103,8.79,23,40.6775,NA,NA,NA,NA,"North"
